animal,condition,have_hair,feathers,produce_eggs,produce_milk,the_ability_to_fly,swim,predator,have_teeth,have_a_backbone,take_breaths,venomous,fins,zero_legs,two_legs,four_legs,five_legs,six_legs,eight_legs,have_a_tail,type_of_pet,type_of_mammal,type_of_bird,reptile,type_of_fish,type_of_amphibian,type_of_insect,pink-colored,black,black_and_white,white-colored,blue-colored,a_brown_color,gray-colored,orange-colored,red,green,yellow,spots,stripes,furry,hooves,paws,horns_or_antlers,have_tusks,smelly,active_mainly_at_night,smart,in_a_group,a_long_life,have_a_shell,fast,slow,endangered,on_a_farm,in_safari_areas,in_the_ocean,sting,commonly_eaten,in_a_cold_climate,useful_to_humans,sleep_a_lot,dangerous,bigger_than_a_microwave
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
parrot,kb_gold_standard,0,1,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,sim_ours_feat_asked,,,,x,,,,,,,,,,,,,,,x,,,,,x,,x,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,sim_ours,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
piranha,kb_gold_standard,0,0,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
,sim_ours_feat_asked,,x,x,,,x,,x,,,,,,,,,,,,,,,,x,,,,,,,,,x,,,,x,,,,,,,,,x,,x,,,,,,,,,x,x,,,,,x
,sim_ours,1,0,1,1,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sparrow,kb_gold_standard,0,1,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
,sim_ours_feat_asked,,,x,,,x,,,,x,,,,x,,,,,x,,,,,,,x,x,,,,,x,,,,x,,,,,,,,x,,x,,x,,,,,,x,,,x,x,,,,,
,sim_ours,1,0,1,1,0,0,0,1,1,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tuna,kb_gold_standard,0,0,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
,sim_ours_feat_asked,,,,,,x,x,,,,,,,,,,,,,,,,,x,,,,,,,,,x,,,,x,,,,,,,,,x,,x,,x,,,,,,,x,,,,,x,
,sim_ours,1,0,0,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wasp,kb_gold_standard,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
,sim_ours_feat_asked,,,,,,,,,,x,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,
,sim_ours,1,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
